问题,提取的实体
在仲裁过程中，如果当事人发现笔录中有遗漏或差错，应该如何处理？,['仲裁，当事人，笔录，遗漏，差错']
事业单位在处置国有资产时，是否可以自行决定处置而不经过审批？,['国有资产，事业单位']
出租方在招租过程中需要设置保证金吗？如果需要，应明确哪些内容？,"['租赁方', '保证金', '招租']"
在政府采购项目中，补抽专家或重新组建评审委员会后，需要做哪些书面记录？,"['政府采购项目', '补抽专家', '重新组建评审委员会', '书面记录']"
意向投资人在参与增资项目时，需要进行哪些工作？,['投资者，增资项目']
在进行上市公司股份直接协议转让时，转让方需要履行哪些内部决策程序？,"['上市公司', '股份', '协议转让', '转让方', '内部决策程序']"
政府在履行出资人职责时，应遵循哪些原则？,"['政府', '出资人', '职责', '原则']"
如何满足“采购三重四级杆气相色谱质谱联用仪”项目的申请人资格要求？,['申请人资格要求']
“数字倒置荧光显微镜”项目的最高限价是多少？,['数字倒置荧光显微镜，项目，最高限价']
“罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购”项目的联系人是谁？,['罗泾社区卫生服务中心']
“皮秒激光仪”项目的采购人代理人联系方式是什么？,['采购人代理人联系方式']
“生物分子相互作用分析系统”项目的采购人地址在哪里？,['采购人']
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的最高限价是多少？,['成像，表面形貌，分析，多功能共聚焦显微镜，最高限价']
“沉积物粒度组成和年代测试”项目的采购人代理人名称是什么？,"[""'采购人代理人名称'""]"
“浦东新区南汇新城镇社区卫生服务中心CT机”项目是否有特定的资格要求？,"['浦东新区', '南汇新城镇', '社区卫生服务中心']"
“颗粒纳米生物检测仪”项目的预算金额是多少？,"['项目', '预算金额']"
“高端便携式彩色多普勒超声诊断仪”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“细胞器精准提取分析系统”项目的联系人电话是什么？,"[""'项目联系人电话'""]"
“上海交通大学医学院动物手术实验室设备等采购项目”的预算金额是多少？,"['上海交通大学', '医学院', '动物手术实验室', '设备', '采购项目']"
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的包名称是什么？,['中国福利会国际和平妇幼保健院']
“层析成像扫描仪配件升级”项目的采购人联系方式是什么？,"[""'采购人'""]"
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的预算金额是多少？,['徐汇区城运中心，区公安分局，2024年度，350兆PDT系统，项目，预算金额']
“公卫中心开办设备第一批”项目的采购人代理人名称是什么？,['公卫中心，项目，采购人，代理人名称']
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的联系人是谁？,"[""'项目"", ""联系人'""]"
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,['采购人代理人']
“上海健康医学院附属崇明医院医疗设备采购”项目的包名称是什么？,"['上海健康医学院', '附属崇明医院']"
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的预算金额是多少？,['青浦区，卫健委，医疗设备采购项目三']
“设备-彩色超声诊断仪”项目的采购人代理人联系方式是什么？,"['采购人', '代理', '联系方式']"
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”的联系人电话是什么？,"['上海交通大学医学院附属上海儿童医学中心', '电话']"
“直线加速器（第二次）”项目的采购人地址在哪里？,['采购人']
“嘉定卫生信息服务采购项目”的预算金额是多少？,['嘉定，卫生服务，信息，采购，项目，预算，金额']
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人代理人名称是什么？,['上海市中医医院嘉定院区']
“多功能全自动蛋白质表达定量分析系统”项目的采购人联系方式是什么？,['采购人']
“流式细胞分析/分选仪”项目的预算金额是多少？,"['项目', '预算金额']"
“超声外科吸引系统”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“一体式大平板C型臂”项目的联系人是谁？,"[""'项目"", '大平板C型臂', ""联系人'""]"
“外科腹腔镜超声”项目的采购人代理人名称是什么？,['采购人代理人名称']
“3.0T核磁共振”项目的采购人联系方式是什么？,['采购人']
“月浦镇农村房地一体宅基地确权登记项目”的预算金额是多少？,['月浦镇，农村房地一体宅基地，确权登记项目，预算金额']
“第七人民医院钬激光治疗机项目”的采购人代理人地址在哪里？,['第七人民医院，钬激光治疗机，采购人，代理人，地址']
“辐射抗扰度测试系统”项目的联系人电话是什么？,"[""'辐射抗扰度测试系统，联系人'""]"
“特种光纤化学气相沉积材料生长系统”项目的采购人名称是什么？,['采购人']
“高档彩色多普勒超声诊断仪”项目的预算金额是多少？,['超声诊断仪，预算金额']
“朱家角人民医院医用超声波仪器及设备项目”的采购人代理人名称是什么？,['朱家角人民医院']
“振动样品磁强计装备”项目的采购人联系方式是什么？,['采购人']
“上海市精神卫生中心流式细胞仪项目”的预算金额是多少？,['上海市，精神卫生中心']
“社保队员第三方购买服务项目”的采购人代理人地址在哪里？,['采购人，代理人']
“上海市养志康复医院（上海市阳光康复中心）虚拟现实康复训练系统”项目的联系人是谁？,['上海市，上海市养志康复医院（上海市阳光康复中心），虚拟现实康复训练系统，项目，联系人']
“上海市第一人民医院重症医学病房建设项目（五）”项目的采购人代理人名称是什么？,['上海市第一人民医院']
“采购三重四级杆气相色谱质谱联用仪”项目的采购人代理人联系方式是什么？,"['采购人', '代理', '联系方式']"
“数字倒置荧光显微镜”项目的采购人地址在哪里？,"[""'采购人'""]"
“手术显微镜（含自筹）”项目的联系人电话是什么？,"[""'手术显微镜，自筹，联系人电话'""]"
“上海市老年医学中心开办项目-痕量分子靶标检测系统、流式细胞仪”项目的预算金额是多少？,"['上海市老年医学中心', '痕量分子靶标检测系统', '流式细胞仪']"
“罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购”项目的采购人代理人名称是什么？,['罗泾社区卫生服务中心']
“皮秒激光仪”项目的采购人联系方式是什么？,['采购人']
“生物分子相互作用分析系统”项目的预算金额是多少？,"['项目', '预算金额']"
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“沉积物粒度组成和年代测试”项目的联系人是谁？,"[""'项目'"", "" '联系人'""]"
“浦东新区南汇新城镇社区卫生服务中心CT机”项目的采购人代理人名称是什么？,['浦东新区南汇新城镇社区卫生服务中心']
“颗粒纳米生物检测仪”项目的采购人联系方式是什么？,['采购人']
“高端便携式彩色多普勒超声诊断仪”项目的预算金额是多少？,['超声诊断仪']
“细胞器精准提取分析系统”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“上海交通大学医学院动物手术实验室设备等采购项目”项目的联系人电话是什么？,"['上海交通大学', '医学院', '动物手术实验室', '设备']"
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的采购人名称是什么？,['中国福利会国际和平妇幼保健院']
“层析成像扫描仪配件升级”项目的预算金额是多少？,['项目预算']
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的采购人代理人名称是什么？,['徐汇区城运中心，区公安分局，2024年度，350兆PDT系统建设']
“公卫中心开办设备第一批”项目的采购人联系方式是什么？,"[""'公卫中心'，'项目'，'采购人'""]"
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的预算金额是多少？,['技术性支撑，地图成果']
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,['采购人，代理人']
“上海健康医学院附属崇明医院医疗设备采购”项目的联系人是谁？,"['上海健康医学院', '附属崇明医院']"
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的采购人代理人名称是什么？,['青浦区卫健委']
“设备-彩色超声诊断仪”项目的采购人联系方式是什么？,['采购人']
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”项目的预算金额是多少？,"['上海交通大学医学院', '上海儿童医学中心']"
“直线加速器（第二次）”项目的采购人代理人地址在哪里？,['采购人，代理人']
“嘉定卫生信息服务采购项目”项目的联系人电话是什么？,['嘉定，卫生信息，服务采购，项目，联系人，电话']
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人名称是什么？,['上海市中医医院嘉定院区']
“多功能全自动蛋白质表达定量分析系统”项目的预算金额是多少？,"['项目', '预算金额']"
“流式细胞分析/分选仪”项目的采购人代理人名称是什么？,['采购人代理人名称']
“超声外科吸引系统”项目的采购人联系方式是什么？,['采购人']
“一体式大平板C型臂”项目的预算金额是多少？,['大平板C型臂']
“外科腹腔镜超声”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“3.0T核磁共振”项目的联系人是谁？,"[""'项目"", ""联系人'""]"
“月浦镇农村房地一体宅基地确权登记项目”项目的采购人代理人名称是什么？,['月浦镇']
“第七人民医院钬激光治疗机项目”的采购人联系方式是什么？,['第七人民医院，钬激光治疗机，采购人']
“辐射抗扰度测试系统”项目的预算金额是多少？,['项目预算金额']
“特种光纤化学气相沉积材料生长系统”项目的采购人代理人地址在哪里？,['采购人代理人地址']
“高档彩色多普勒超声诊断仪”项目的联系人电话是什么？,"[""'高档彩色多普勒超声诊断仪'""]"
“朱家角人民医院医用超声波仪器及设备项目”项目的采购,"['朱家角人民医院', '医用超声波仪器及设备项目']"
你好！,"[""''""]"
你好，今天天气怎么样？,['天气']
早上好！,"[""''""]"
你能告诉我现在的时间吗？,"[""''""]"
周末有什么计划吗？,['无']
你能推荐几本好书吗？,"[""''""]"
今天的工作忙不忙？,"[""''""]"
你了解最新的科技趋势吗？,"[""''""]"
你能教我几句常用的外语表达吗？,['外语，表达']
你最喜欢的电影是什么？,"[""''""]"
你能帮我查一下明天的天气预报吗？,['天气']
你能告诉我一些健康饮食的建议吗？,['健康，饮食']
你了解当前的股市行情吗？,['股市']
你能帮我找一首轻松的音乐吗？,['音乐']
你有什么兴趣爱好？,"[""''""]"
你能推荐一些旅行的好去处吗？,['目的地']
你能教我如何缓解压力吗？,['压力']
你能帮我查一下最近的新闻头条吗？,['新闻头条']
你能告诉我一些关于月亮的有趣事实吗？,['月亮']
你了解人工智能的最新发展吗？,['人工智能']
你能帮我找一些学习资源吗？,['学习资源']
你能推荐一些提高工作效率的方法吗？,['效率']
你能帮我查一下航班信息吗？,['帮助']
你能告诉我一些关于宇宙的有趣知识吗？,['宇宙']
你了解不同的文化习俗吗？,['文化']
你能帮我找一些放松的瑜伽视频吗？,['放松的，瑜伽，视频']
你能推荐一些周末的活动吗？,['无']
你能告诉我一些关于环保的小知识吗？,['环保，小知识']
你了解最新的医疗健康资讯吗？,['资讯']
你能帮我找一些提高睡眠质量的方法吗？,['睡眠质量']
你能推荐一些有趣的播客节目吗？,['播客节目']
你能告诉我一些关于历史的有趣故事吗？,['历史']
你了解不同的星座性格吗？,['星座，性格']
你能帮我找一些学习编程的资源吗？,"['学习', '编程', '资源']"
你能推荐一些提高记忆力的技巧吗？,"['记忆力', '技巧']"
你能告诉我一些关于植物养护的知识吗？,['植物']
你了解不同的艺术风格吗？,['艺术风格']
你能帮我找一些家庭健身的指导吗？,['家庭，健身']
你能推荐一些提高专注力的方法吗？,['专注力']
你能告诉我一些关于动物的有趣事实吗？,['动物']
你了解不同的烹饪技巧吗？,['烹饪技巧']
你能帮我找一些学习语言的应用程序吗？,['应用程序']
你能推荐一些提高自信心的技巧吗？,['自信，技巧']
你能告诉我一些关于心理学的知识吗？,['心理学']
你了解不同的建筑风格吗？,['建筑风格']
你能帮我找一些提高创造力的方法吗？,[' creativity']
你能推荐一些提高阅读速度的技巧吗？,['阅读速度']
你能告诉我一些关于海洋生物的有趣事实吗？,['海洋生物']
你了解不同的音乐流派吗？,['音乐流派']
你能帮我找一些提高工作效率的软件吗？,['软件']
你能推荐一些提高时间管理能力的方法吗？,['时间管理']
你能告诉我一些关于天文学的有趣知识吗？,['天文学']
你了解不同的棋类游戏吗？,['棋类游戏']
你能帮我找一些提高公共演讲技巧的资源吗？,['资源']
你能推荐一些提高写作技巧的方法吗？,['写作技巧']
你能告诉我一些关于古文明的有趣事实吗？,['古文明']
你了解不同的舞蹈风格吗？,['舞蹈风格']
你能帮我找一些提高绘画技巧的教程吗？,"['绘画技巧', '教程']"
你能推荐一些提高逻辑思维的方法吗？,['逻辑思维']
你能告诉我一些关于昆虫的有趣知识吗？,['昆虫']
你了解不同的园艺技巧吗？,['园艺']
你能帮我找一些提高学习效率的方法吗？,['学习效率']
你能推荐一些提高团队协作能力的方法吗？,['团队协作能力']
你能告诉我一些关于鸟类的有趣事实吗？,['鸟类']
你了解不同的手工艺吗？,"[""''""]"
你能帮我找一些提高决策能力的方法吗？,['决策能力']
你能推荐一些提高领导力的技巧吗？,['领导力']
你能告诉我一些关于地质学的有趣知识吗？,['地质学']
你了解不同的茶文化吗？,['茶']
你能帮我找一些提高情绪管理能力的方法吗？,['情绪管理能力']
你能推荐一些提高人际交往能力的方法吗？,['人际交往能力']
你能告诉我一些关于物理学的有趣事实吗？,['物理']
你了解不同的咖啡种类吗？,['咖啡种类']
你能帮我找一些提高财务管理能力的方法吗？,['能力']
你能推荐一些提高自我激励的方法吗？,['自我激励']
你能告诉我一些关于化学的有趣实验吗？,['化学']
你了解不同的酒文化吗？,['酒']
你能帮我找一些提高批判性思维的方法吗？,['思维']
你能推荐一些提高适应能力的方法吗？,['适应能力']
你能告诉我一些关于生物学的有趣知识吗？,['生物学']
你了解不同的摄影技巧吗？,['摄影，技巧']
你能帮我找一些提高组织能力的方法吗？,['组织能力']
你能推荐一些提高解决问题能力的方法吗？,['解决问题能力']
你能告诉我一些关于哲学的有趣思想吗？,['哲学，有趣']
你了解不同的时尚趋势吗？,"[""''""]"
你能帮我找一些提高创新能力的方法吗？,['创新，方法']
你能推荐一些提高说服力的技巧吗？,['说服力']
你能告诉我一些关于数学的有趣问题吗？,['数学，有趣']
你了解不同的电影流派吗？,['电影流派']
你能帮我找一些提高自我意识的方法吗？,['自我意识']
你能推荐一些提高自我反省能力的方法吗？,['自我反省能力']
你能告诉我一些关于政治学的有趣事实吗？,['政治学']
你了解不同的体育项目吗？,['体育项目']
你能帮我找一些提高身体协调性的方法吗？,['身体协调性']
你能推荐一些提高反应速度的技巧吗？,['速度']
你能告诉我一些关于人类学的有趣知识吗？,['人类学']
你了解不同的旅行目的地吗？,['目的地']
你能帮我找一些提高语言能力的方法吗？,['能力，方法']
你能推荐一些提高听力理解能力的方法吗？,['听力理解能力']
你能告诉我一些关于社会学的有趣事实吗？,['社会学']
你了解不同的节日庆典吗？,['节日']
无轨迹等张肌力测试康复训练系统的品牌有哪些？,"[""'等张肌力测试康复训练系统，品牌'""]"
无轨迹等张肌力测试康复训练系统的产品价格范围是多少？,['产品价格范围']
无轨迹等张肌力测试康复训练系统的供应商城市有哪些？,['城市']
