问题,意图分类,标签真值,提取的实体
有意受让土地使用权者需要从出让人处获取哪些资料？,实体提取：出让方，受让方，出让土地，受让土地，土地使用权，出让土地使用证，出让土地用途，出让土地面积，出让土地位置，出让土地性质，出让土地范围，出让土地界线，出让土地权利人，出让土地权属状况，出让土地登记机关，出让土地登记证，出让土地交易市场，出让土地交易价格，出让土地交易方式，出让土地交易渠道，出让土地交易时间，出让土地交易地点，出让土地交易条件，出让土地交易合同，出让土地交易手续，出让土地交易税费，出让土地交易担保，出让土地交易保险，出让土地交易风险，出让土地交易违约责任，出让土地交易纠纷解决途径，出让土地交易投诉渠道，出让土地交易举报热线，出让土地交易仲裁机构，出让土地交易诉讼时效，出让土地交易执行情况，出让土地交易评估报告，出让土地交易审计报告，出让土地交易审计师，出让土地交易审计单位，出让土地交易审计日期，出让土地交易审计结论，出让土地交易审计意见，出让土地交易审计发现，出让土地交易审计整改建议，出让土地交易审计处罚，出让土地交易审计罚款，出让土地交易审计扣押，出让土地交易审计查封，出让土地交易审计冻结，出让土地交易审计拍卖，出让土地交易审计转让，出让土地交易审计租赁，出让土地交易审计抵押，出让土地交易审计质押，出让土地交易审计留置，出让土地交易审计变卖，出让土地交易审计抵债，出让土地交易审计补偿，出让土地交易审计赔偿，出让土地交易审计损失，出让土地交易审计利润，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算，出让土地交易审计盈亏，出让土地交易审计盈利，出让土地交易审计亏损，出让土地交易审计收益，出让土地交易审计损失，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算，出让土地交易审计盈亏，出让土地交易审计盈利，出让土地交易审计亏损，出让土地交易审计收益，出让土地交易审计损失，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算,政策内容,['出让方，受让方，出让土地，受让土地，土地使用权，出让土地使用证，出让土地用途，出让土地面积，出让土地位置，出让土地性质，出让土地范围，出让土地界线，出让土地权利人，出让土地权属状况，出让土地登记机关，出让土地登记证，出让土地交易市场，出让土地交易价格，出让土地交易方式，出让土地交易渠道，出让土地交易时间，出让土地交易地点，出让土地交易条件，出让土地交易合同，出让土地交易手续，出让土地交易税费，出让土地交易担保，出让土地交易保险，出让土地交易风险，出让土地交易违约责任，出让土地交易纠纷解决途径，出让土地交易投诉渠道，出让土地交易举报热线，出让土地交易仲裁机构，出让土地交易诉讼时效，出让土地交易执行情况，出让土地交易评估报告，出让土地交易审计报告，出让土地交易审计师，出让土地交易审计单位，出让土地交易审计日期，出让土地交易审计结论，出让土地交易审计意见，出让土地交易审计发现，出让土地交易审计整改建议，出让土地交易审计处罚，出让土地交易审计罚款，出让土地交易审计扣押，出让土地交易审计查封，出让土地交易审计冻结，出让土地交易审计拍卖，出让土地交易审计转让，出让土地交易审计租赁，出让土地交易审计抵押，出让土地交易审计质押，出让土地交易审计留置，出让土地交易审计变卖，出让土地交易审计抵债，出让土地交易审计补偿，出让土地交易审计赔偿，出让土地交易审计损失，出让土地交易审计利润，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算，出让土地交易审计盈亏，出让土地交易审计盈利，出让土地交易审计亏损，出让土地交易审计收益，出让土地交易审计损失，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算，出让土地交易审计盈亏，出让土地交易审计盈利，出让土地交易审计亏损，出让土地交易审计收益，出让土地交易审计损失，出让土地交易审计成本，出让土地交易审计收入，出让土地交易审计支出，出让土地交易审计费用，出让土地交易审计预算，出让土地交易审计决算']
在拍卖活动中，如果某方当事人违反了公开、公平、公正、诚实信用的原则，会有什么后果？,日常问题,政策内容,"['拍卖活动', ' 公开', ' 公平', ' 公正', ' 诚实信用', ' 合规性']"
在本市社会投资的房屋建筑工程中，建设单位是否还需要提供银行资金到位证明和预付款证明？,日常问题,政策内容,"['本市', ' 社会投资', ' 房屋建筑工程', ' 建设单位', ' 银行资金到位证明', ' 预付款证明']"
采购人在与供应商交往过程中有哪些禁止行为？,商品数据,政策内容,"['采购人', '供应商', '交往过程', '禁止行为']"
采购人能否与政务信息系统运行维护供应商签订超过三年的政府采购合同？,政策内容,政策内容,"['采购人', ' 财政部', ' 政务信息系统运行维护供应商', ' 签订', ' 超过三年', ' 政府采购合同']"
对于上海市公共资源交易目录外的新增交易活动，应如何处理交易平台问题？,日常问题,政策内容,"['上海市公共资源交易目录', ' 新增交易活动', ' 平台交易问题']"
在国有企业改革中，如何确保党组织的法定地位和发挥其政治核心作用？,政策内容,政策内容,"['国有企业', ' 改革', ' 党组织', ' 法定地位', ' 发挥其政治核心作用']"
委托拍卖合同签订时，委托人如何交付拍卖标的？,日常问题,政策内容,"['委托人', '拍卖标的', '委托人', '拍卖标的']"
招投标监管部门在信用标管理方面有哪些具体职责？,政策内容,政策内容,"['招投标监管部门', '信用标管理', '职责']"
如果在招投标过程中遇到合同纠纷，是否可以直接引用《中华人民共和国民法典》进行维权？,政策内容,政策内容,['《中华人民共和国民法典》，合同纠纷，维权']
交易主体在进行招投标活动前，必须通过哪些方式进行身份认证？,日常问题,政策内容,"['交易主体', '招投标活动', '身份认证']"
采购人在进行政府采购时，是否可以按照个人意愿选择供应商？,日常问题,政策内容,"['采购人', ' 政府采购', ' 供应商', ' 个人意愿']"
对于不属于工程建设项目但属于固定资产投资的货物招标投标活动，应如何执行相关规定？,政策内容,政策内容,"['固定资产投资', ' 货物招标投标活动', ' 规定']"
招标人在设定投标人资格要求时，哪些行为会被视为以不合理条件限制或排斥潜在投标人？,"实体提取：招标人, 投标人, 资格要求, 竞争对手, 合同, 市场需求, 采购计划, 法律法规, 政策规定, 不合理条件, 排斥潜在投标人, 所有者权益, 财务报表, 平台交易, 行业标准, 政府机构, 投标文件, 投标程序, 公开透明, 可靠性, 安全保障, 诚信记录, 投标保证金, 综合评估, 资质证书, 法律法规要求, 供应商资质, 监管部门, 投标有效期, 投标报价, 验证机制, 投标人背景, 评审过程, 中标结果, 标准化流程, 评价指标, 评标委员会, 投标人资格, 违规行为, 举报投诉, 招标公告, 投标邀请函, 项目预算, 付款方式, 保密协议, 投标策略, 项目进度, 质量保证, 投诉处理, 法律诉讼, 仲裁程序, 法律风险, 法律责任, 法律救济, 法律咨询, 法律服务, 法律援助, 法律合规, 法律审查, 法律意见书, 法律文书, 法律事务, 法律知识, 法律体系, 法律规范, 法律程序, 法律制度, 法律法规制定, 法律执行, 法律监督, 法律宣传, 法律培训, 法律考试, 法律教育, 法律研究, 法律咨询, 法律援助, 法律合规, 法律审核, 法律调查, 法律调查报告, 法律意见, 法律建议, 法律方案, 法律合同, 法律条款, 法律事务管理, 法律事务人员, 法律事务机构, 法律事务组织, 法律事务团队, 法律事务中心, 法律事务室, 法律事务部, 法律事务科, 法律事务组, 法律事务处, 法律事务办, 法律事务科,",政策内容,"['招标人', ' 投标人', ' 资格要求', ' 竞争对手', ' 合同', ' 市场需求', ' 采购计划', ' 法律法规', ' 政策规定', ' 不合理条件', ' 排斥潜在投标人', ' 所有者权益', ' 财务报表', ' 平台交易', ' 行业标准', ' 政府机构', ' 投标文件', ' 投标程序', ' 公开透明', ' 可靠性', ' 安全保障', ' 诚信记录', ' 投标保证金', ' 综合评估', ' 资质证书', ' 法律法规要求', ' 供应商资质', ' 监管部门', ' 投标有效期', ' 投标报价', ' 验证机制', ' 投标人背景', ' 评审过程', ' 中标结果', ' 标准化流程', ' 评价指标', ' 评标委员会', ' 投标人资格', ' 违规行为', ' 举报投诉', ' 招标公告', ' 投标邀请函', ' 项目预算', ' 付款方式', ' 保密协议', ' 投标策略', ' 项目进度', ' 质量保证', ' 投诉处理', ' 法律诉讼', ' 仲裁程序', ' 法律风险', ' 法律责任', ' 法律救济', ' 法律咨询', ' 法律服务', ' 法律援助', ' 法律合规', ' 法律审查', ' 法律意见书', ' 法律文书', ' 法律事务', ' 法律知识', ' 法律体系', ' 法律规范', ' 法律程序', ' 法律制度', ' 法律法规制定', ' 法律执行', ' 法律监督', ' 法律宣传', ' 法律培训', ' 法律考试', ' 法律教育', ' 法律研究', ' 法律咨询', ' 法律援助', ' 法律合规', ' 法律审核', ' 法律调查', ' 法律调查报告', ' 法律意见', ' 法律建议', ' 法律方案', ' 法律合同', ' 法律条款', ' 法律事务管理', ' 法律事务人员', ' 法律事务机构', ' 法律事务组织', ' 法律事务团队', ' 法律事务中心', ' 法律事务室', ' 法律事务部', ' 法律事务科', ' 法律事务组', ' 法律事务处', ' 法律事务办', ' 法律事务科', '']"
招标人或其委托的招标代理机构在发布资格预审公告、招标公告或投标邀请书时，需要包含哪些信息？,政策文件信息,政策内容,"['招标人', '招标代理机构', '资格预审公告', '招标公告', '投标邀请书', '发布', '包含']"
联交所能否为非公开协议租赁的双方提供登记和资金结算服务？,日常问题,政策内容,"['联交所', ' 公开协议', ' 非公开协议', ' 租赁', ' 登记', ' 资金结算服务']"
在承包期内，发包方是否有权调整承包地？,政策内容,政策内容,['发包方，承包地，承包期']
如何判断采购文件是否存在限制性和倾向性？,政策文件信息,政策内容,"['采购文件', ' 限制性', ' 倾向性']"
财政部门如何实现对事业单位国有资产的动态管理？,政策内容,政策内容,"['财政部门', '事业单位', '国有资产', '动态管理']"
哪些企业属于国家出资企业的范畴？,政策内容,政策内容,"['国家出资企业', ' 企业']"
第三方机构在碳排放核查过程中，如果出具了虚假的核查报告，会受到怎样的处罚？,政策内容,政策内容,"['第三方机构', ' 碳排放核查过程', ' 出具虚假的核查报告', ' 处罚']"
集体经济组织在参与镇村规划编制和村民住宅用地管理时，需要履行哪些职责？,政策内容,政策内容,"['集体经济组织', ' 镇村规划编制', ' 村民住宅用地管理', ' 履行职责']"
保险公司变更注册资本时，需要提交哪些关键材料？,日常问题,政策内容,"['保险公司的名称', ' 注册资本', ' 关键材料']"
历史文化名城的环境遭到严重破坏，会有什么后果？,日常问题,政策内容,"['历史文化名城', ' 环境', ' 破坏', ' 后果']"
第三方机构在碳排放核查中违规，会受到哪些处罚？,政策内容,政策内容,"['第三方机构', ' 碳排放核查', ' 违规', ' 处罚']"
如果国有金融企业未完成公司制改革，其子公司的增资行为需要报备吗？,政策文件信息,政策内容,"['国有金融企业', '公司制改革', '增资行为', '子公司', '报备']"
如果企业在过渡期内不符合相关政策要求，应该如何处理？,政策内容,政策内容,"['企业', ' 过渡期', ' 政策要求', ' 合规性', ' 相关规定', ' 等价关系']"
闲置土地的动工开发时间如何重新起算？,政策内容,政策内容,"['闲置土地', '动工开发时间', '重新起算']"
投标保证金的到账截止时间应如何设定？,日常问题,政策内容,"['投标保证金', '到账截止时间', '应如何设定']"
如果企业在“195区域”内擅自分割转让土地使用权，会有什么后果？,政策内容,政策内容,"['195区域', '擅自分割转让土地使用权', '企业']"
投标人能否使用银行保函代替现金提交投标保证金？,日常问题,政策内容,"['投标人', ' 银行保函', ' 现金', ' 投标保证金']"
如何确定政府采购的资金节约率？,政策内容,政策内容,['政府采购资金节约率']
农村土地承包经营权证的发放管理由哪个部门负责？,政策文件信息,政策内容,"['农村土地承包经营权证', ' 发放管理', ' 部门', ' 负责']"
事业单位的国有资产评估项目需要经过哪些审批程序？,日常问题,政策内容,"['事业单位', ' 国有资产', ' 评估项目', ' 审批程序']"
在招投标过程中，如果发现营商环境方面的问题，可以通过哪些途径进行投诉举报？,日常问题,政策内容,"['营商环境', ' 投诉举报', ' 投诉举报途径']"
产权转让项目首次正式信息披露的转让底价有何要求？,政策内容,政策内容,"['产权转让项目', ' 转让底价', ' 首次正式信息披露', ' 政策文件信息']"
综合类会员和自营类会员在结算部门的职责上有何区别？,日常问题,政策内容,"['综合类会员', ' 自营类会员', ' 结算部门', ' 职责']"
国有资产监管机构在履行出资人职责时，应如何界定监管边界？,政策内容,政策内容,"['国有资产监管机构', ' 履行出资人职责', ' 监管边界', ' 国有资产监管机构', ' 履行出资人职责', ' 国有资产监管机构', ' 监管边界', ' 国有资产监管机构']"
如果对本规范的内容有疑问，应该向哪个部门咨询？,日常问题,政策内容,['部门  ']
在招投标过程中，如何快速办理简易公证事项和查询公证信息？,日常问题,政策内容,"['招投标', ' 公证事项', ' 查询公证信息']"
国有资产监督管理机构的具体职责包括哪些方面？,政策内容,政策内容,"['国有资产监督管理机构', ' 职责', ' 包括', ' 方面']"
市发展改革部门和行业主管部门在公共资源交易中具体负责哪些方面的数据质量评价？,日常问题,政策内容,"['市发展改革部门', ' 行业主管部门', ' 公共资源交易', ' 数据质量评价']"
挂牌出让国有土地使用权的过程中，如何确定最终的土地使用者？,商品数据,政策内容,"['挂牌出让国有土地使用权', '最终', '土地使用者']"
拍卖企业在举办拍卖活动时，公告发布的时间和媒体选择有哪些具体要求？,商品数据,政策内容,"['拍卖企业', ' 拍卖活动', ' 公告发布时间', ' 媒体选择', ' 具体要求']"
在推广托管服务模式时，如何确保农户的承包关系不被改变？,日常问题,政策内容,['承包关系，农户，承包关系']
建设管理部门在记录从业单位的不良信用信息后，需要多久将其记入市建管平台？,政策内容,政策内容,"['建设管理部门', ' 记录从业单位的不良信用信息', ' 市建管平台']"
在拍卖过程中，如果我出价后反悔了，可以撤回我的出价吗？,日常问题,政策内容,"['反悔', ' 反悔', ' 起价', ' 出价', ' 策略', ' 反悔', ' 反悔']"
中标后，招标人和中标人是否可以签订与原投标文件内容不一致的合同？,招标中标信息,政策内容,"['招标人', ' 中标人', ' 原投标文件', ' 合同', ' 投标文件内容']"
询价采购中，供应商提交响应文件的截止时间最少需要提前多少天通知？,日常问题,政策内容,"['供应商', ' 提交响应文件的截止时间', ' 最少', ' 需要', ' 提前', ' 多少', ' 天', ' 通知']"
如果出让合同约定由受让人拆除原有建筑物，受让人支付出让金后可以获得什么证明？,商品数据,政策内容,"['出让合同', ' 受让人', ' 原有建筑物', ' 购买行为', ' 出让金', ' 提供证明']"
评标专家入选专家库有哪些途径？,日常问题,政策内容,"['评标专家', '入选', '专家库', '途径']"
借碳期限届满后，如果借入方未偿还所借入的配额，交易所将如何处理？,日常问题,政策内容,['到期，借入方，偿还，配额，交易所']
财政部门在事业单位国有资产管理中的具体职责包括哪些？,政策内容,政策内容,"['财政部门', '事业单位', '国有资产管理', '职责']"
在哪些情况下，交易所会发出风险警示公告？,政策内容,政策内容,"['交易所', ' 股票市场', ' 风险警示公告', ' 发布时机', ' 情况']"
哪些情况下可以开展预选招标？,政策内容,政策内容,['哪些情况下，可以开展预选招标？']
施工招标中，如果设有标底，评标标底的具体确定方法有哪些？,商品数据,政策内容,"['标底', '评标', '具体', '确定', '方法', '有哪些']"
境外国有产权转让的价款支付方式有何规定？,政策内容,政策内容,['境外国有产权，转让，价款，支付方式，规定']
新型农业经营主体在建设配套辅助设施时能享受哪些政策优惠？,政策内容,政策内容,"['新型农业', ' 农业经营主体', ' 建设配套辅助设施', ' 政策优惠']"
在处理多地块平衡、组合出让的历史风貌保护项目时，需要特别注意哪些方面？,"实体提取：多地块平衡, 组合出让, 历史风貌保护项目, 多块土地, 平衡, 面积, 地块, 面积限制, 土地面积限制, 面积比例, 面积均衡, 区域, 历史文化保护, 历史风貌, 保护, 老旧区改造, 历史街区, 历史建筑, 历史文化遗产, 传统建筑, 保护性建设, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性使用, 保护性开发, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, 保护性维护, 保护性修复, 保护性更新, 保护性管理, 保护性规划, 保护性设计, 保护性施工, 保护性管理, 保护性更新, ",政策内容,"['多地块平衡', ' 组合出让', ' 历史风貌保护项目', ' 多块土地', ' 平衡', ' 面积', ' 地块', ' 面积限制', ' 土地面积限制', ' 面积比例', ' 面积均衡', ' 区域', ' 历史文化保护', ' 历史风貌', ' 保护', ' 老旧区改造', ' 历史街区', ' 历史建筑', ' 历史文化遗产', ' 传统建筑', ' 保护性建设', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性使用', ' 保护性开发', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' 保护性维护', ' 保护性修复', ' 保护性更新', ' 保护性管理', ' 保护性规划', ' 保护性设计', ' 保护性施工', ' 保护性管理', ' 保护性更新', ' ']"
招标人和中标人在中标通知书发出后，应在多长时间内签订书面合同？,招标中标信息,政策内容,"['招标人', ' 中标人', ' 中标通知书', ' 合同', ' 书面合同']"
在未中标或未竞得前，投标、竞买外汇保证金的所有权归属如何？,日常问题,政策内容,"['未中标', '未竞得', '外汇保证金', '所有权归属']"
上海市的公共资源拍卖活动是否必须通过公共资源拍卖平台进行？,日常问题,政策内容,"['上海市', '公共资源拍卖活动', '公共资源拍卖平台']"
银监会在调查商业银行股东涉嫌违法事项时，是否有权查阅和复制相关财务会计文件？,政策内容,政策内容,"['银监会', ' 商业银行', ' 股东', ' 违法事项', ' 相关财务会计文件']"
招标人申请自行办理招标事宜时需要提交哪些书面材料？,"实体提取：招标人, 自行办理招标事宜, 招标事宜, 承诺书, 合同, 资质证明, 验收报告, 委托协议, 法律意见书, 公司注册证书, 施工许可证, 技术规范书, 开工令, 监理合同, 竣工验收单, 安全生产许可证, 质量保证书, 投标保证金, 招标公告, 中标通知书, 招标代理合同, 招标方案, 招标文件, 招标程序, 招标监督部门, 收款通知, 招标过程, 招标结果, 招标方, 投标方, 招标项目, 招标时间, 招标地点, 招标方式, 招标条件, 招标范围, 招标标准, 招标预算, 招标期限, 招标资格, 招标文件编制, 招标文件评审, 招标文件修改, 招标文件澄清, 招标文件答疑, 招标文件公示, 招标文件发布, 招标文件获取, 招标文件下载, 招标文件打印, 招标文件保存, 招标文件销毁, 招标文件归档, 招标文件检索, 招标文件查询, 招标文件查看, 招标文件阅读, 招标文件浏览, 招标文件下载失败, 招标文件无法打开, 招标文件损坏, 招标文件丢失, 招标文件未找到, 招标文件过期, 招标文件失效, 招标文件无效, 招标文件不可用, 招标文件不完整, 招标文件缺失, 招标文件错误, 招标文件更新, 招标文件删除, 招标文件复制, 招标文件粘贴, 招标文件移动, 招标文件删除失败, 招标文件移动失败, 招标文件上传失败, 招标",政策内容,"['招标人', ' 自行办理招标事宜', ' 招标事宜', ' 承诺书', ' 合同', ' 资质证明', ' 验收报告', ' 委托协议', ' 法律意见书', ' 公司注册证书', ' 施工许可证', ' 技术规范书', ' 开工令', ' 监理合同', ' 竣工验收单', ' 安全生产许可证', ' 质量保证书', ' 投标保证金', ' 招标公告', ' 中标通知书', ' 招标代理合同', ' 招标方案', ' 招标文件', ' 招标程序', ' 招标监督部门', ' 收款通知', ' 招标过程', ' 招标结果', ' 招标方', ' 投标方', ' 招标项目', ' 招标时间', ' 招标地点', ' 招标方式', ' 招标条件', ' 招标范围', ' 招标标准', ' 招标预算', ' 招标期限', ' 招标资格', ' 招标文件编制', ' 招标文件评审', ' 招标文件修改', ' 招标文件澄清', ' 招标文件答疑', ' 招标文件公示', ' 招标文件发布', ' 招标文件获取', ' 招标文件下载', ' 招标文件打印', ' 招标文件保存', ' 招标文件销毁', ' 招标文件归档', ' 招标文件检索', ' 招标文件查询', ' 招标文件查看', ' 招标文件阅读', ' 招标文件浏览', ' 招标文件下载失败', ' 招标文件无法打开', ' 招标文件损坏', ' 招标文件丢失', ' 招标文件未找到', ' 招标文件过期', ' 招标文件失效', ' 招标文件无效', ' 招标文件不可用', ' 招标文件不完整', ' 招标文件缺失', ' 招标文件错误', ' 招标文件更新', ' 招标文件删除', ' 招标文件复制', ' 招标文件粘贴', ' 招标文件移动', ' 招标文件删除失败', ' 招标文件移动失败', ' 招标文件上传失败', ' 招标']"
供销合作社在综合改革试点中应如何改造自我以更好地服务农民？,政策内容,政策内容,"['供销合作社', ' 综合改革试点', ' 农民']"
综合类会员在交易中是否可以向客户收取佣金？,日常问题,政策内容,"['综合类会员', ' 交易', ' 客户']"
在施工招标中，参加开标的投标人代表有哪些具体要求？,招标中标信息,政策内容,['开标，投标人，代表，具体要求']
采购人在哪些情况下会被责令限期改正并可能面临罚款？,政策内容,政策内容,"['采购人', ' 责令限期改正', ' 罚款']"
提交产权交易中止申请时，需要提供哪些材料？,"实体提取：产权交易中止申请, 材料, 提交, 需要, 提供, 哪些, 什么, 有哪些, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么, 什么,",政策内容,"['产权交易中止申请', ' 材料', ' 提交', ' 需要', ' 提供', ' 哪些', ' 什么', ' 有哪些', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', ' 什么', '']"
单位违反配额管理规定，除了罚款外，还会受到哪些行政处理措施？,政策内容,政策内容,"['单位', ' 配额管理规定', ' 行政处理措施']"
民防工程部分的建设用地使用权基本价格如何确定？,商品数据,政策内容,"['民防工程', '建设用地使用权', '基本价格', '确定']"
地区铁路监督管理局如何开展铁路建设工程招标投标的监督检查工作？,日常问题,政策内容,"['地区铁路监督管理局', ' 铁路建设工程', ' 招标投标监督检查工作']"
招标文件中的技术规格是否必须符合国家技术法规？,政策文件信息,政策内容,"['招标文件', ' 技术规格', ' 国家技术法规']"
评估结果为不佳的发起方在市交易中心会被如何标注？,政策文件信息,政策内容,['发起方，市交易中心，不佳，标注']
房地产权属登记管理的具体要求和流程是怎样的？,政策内容,政策内容,"['房地产权属登记管理', ' 具体要求', ' 流程']"
如果采购任务因重大变故取消，采购人需要做哪些工作？,日常问题,政策内容,"['采购任务', ' 重大变故', ' 取消', ' 采购人', ' 需要', ' 做', ' 工作']"
国有企业经理层成员如何实现任期制和契约化管理？,政策内容,政策内容,"['国有企业', ' 经理层', ' 成员', ' 任期制', ' 契约化', ' 管理']"
评审专家在哪些情况下会被取消专家资格？,日常问题,政策内容,"['专家', ' 取消', ' 专家资格']"
招标文件的澄清和修改是否需要依法进行？,政策文件信息,政策内容,"['招标文件', '澄清', ' 修改', ' 法律法规']"
本市各级财政部门在政府采购创新产品政策执行中需要承担哪些职责？,政策内容,政策内容,"['市', ' 本市', ' 各级财政部门', ' 政府采购创新产品政策', ' 执行']"
增资人在发布增资公告时，需要承担哪些责任？,日常问题,政策内容,"['增资人', ' 发布增资公告', ' 责任']"
如果申请人未按规定交纳保证金，其申请会被视为无效吗？,政策内容,政策内容,"['申请人', ' 未按规定交纳保证金', ' 其申请', ' 被视为无效']"
采购人和采购代理机构在提供材料时需要承担哪些责任？,日常问题,政策内容,"['采购人', ' 采购代理机构', ' 材料', ' 责任']"
港口工程项目有尾留工程时，项目单位应如何处理？,日常问题,政策内容,"['港口工程项目', ' 尾留工程', ' 项目单位', ' 处理']"
房地产买卖合同中需要包含哪些主要内容？,商品数据,政策内容,"['房地产买卖合同', ' 主要内容']"
