问题,意图分类,标签真值,提取的实体
如果出让合同约定由受让人拆除原有建筑物，受让人支付出让金后可以获得什么证明？,政策内容,政策内容,['出让合同，受让人，原有建筑物，出让金，证明']
评标专家入选专家库有哪些途径？,政策内容,政策内容,['专家库，途径']
借碳期限届满后，如果借入方未偿还所借入的配额，交易所将如何处理？,政策内容,政策内容,['交易所，借入方']
财政部门在事业单位国有资产管理中的具体职责包括哪些？,政策内容,政策内容,"['财政部门', '事业单位', '国有资产管理', '具体职责']"
在哪些情况下，交易所会发出风险警示公告？,政策内容,政策内容,"['交易所', '风险警示公告']"
哪些情况下可以开展预选招标？,政策内容,政策内容,['预选招标']
施工招标中，如果设有标底，评标标底的具体确定方法有哪些？,政策内容,政策内容,['标底，具体确定方法']
境外国有产权转让的价款支付方式有何规定？,政策内容,政策内容,['境外国有产权转让，价款支付方式']
新型农业经营主体在建设配套辅助设施时能享受哪些政策优惠？,政策内容,政策内容,['政策优惠，新型农业经营主体，配套辅助设施']
在处理多地块平衡、组合出让的历史风貌保护项目时，需要特别注意哪些方面？,政策内容,政策内容,['地块，平衡，组合出让，历史风貌保护项目']
招标人和中标人在中标通知书发出后，应在多长时间内签订书面合同？,招标中标信息,政策内容,['招标人，中标人，中标通知书，书面合同']
在未中标或未竞得前，投标、竞买外汇保证金的所有权归属如何？,商品数据,政策内容,['投标，竞买，外汇保证金，所有权归属']
上海市的公共资源拍卖活动是否必须通过公共资源拍卖平台进行？,政策内容,政策内容,"['上海市', '公共资源拍卖活动', '必须', '公共资源拍卖平台']"
银监会在调查商业银行股东涉嫌违法事项时，是否有权查阅和复制相关财务会计文件？,政策文件信息,政策内容,"['银监会', '商业银行', '股东', '涉嫌违法事项', '财务会计文件']"
招标人申请自行办理招标事宜时需要提交哪些书面材料？,政策内容,政策内容,"['招标人', '自行办理招标事宜', '书面材料']"
供销合作社在综合改革试点中应如何改造自我以更好地服务农民？,政策内容,政策内容,"['供销合作社', '农民']"
综合类会员在交易中是否可以向客户收取佣金？,商品数据,政策内容,"['会员', '佣金']"
在施工招标中，参加开标的投标人代表有哪些具体要求？,招标中标信息,政策内容,['招标，投标人代表']
采购人在哪些情况下会被责令限期改正并可能面临罚款？,政策内容,政策内容,"['采购人', '限期改正', '罚款']"
提交产权交易中止申请时，需要提供哪些材料？,日常问题,政策内容,"['产权交易', '材料']"
单位违反配额管理规定，除了罚款外，还会受到哪些行政处理措施？,政策内容,政策内容,['单位，配额管理规定，行政处理措施']
民防工程部分的建设用地使用权基本价格如何确定？,政策内容,政策内容,['民防工程，建设用地使用权，基本价格']
地区铁路监督管理局如何开展铁路建设工程招标投标的监督检查工作？,政策内容,政策内容,"['地区铁路监督管理局', '铁路建设工程招标投标的监督检查工作']"
招标文件中的技术规格是否必须符合国家技术法规？,政策内容,政策内容,['国家技术法规']
评估结果为不佳的发起方在市交易中心会被如何标注？,政策文件信息,政策内容,['交易中心，发起方']
房地产权属登记管理的具体要求和流程是怎样的？,政策内容,政策内容,['房地产权属登记管理，具体要求，流程']
如果采购任务因重大变故取消，采购人需要做哪些工作？,日常问题,政策内容,['变故，采购人']
国有企业经理层成员如何实现任期制和契约化管理？,政策内容,政策内容,['国有企业，经理层成员，任期制，契约化管理']
评审专家在哪些情况下会被取消专家资格？,政策内容,政策内容,['专家资格，评审专家']
招标文件的澄清和修改是否需要依法进行？,政策文件信息,政策内容,['招标文件，澄清，修改']
本市各级财政部门在政府采购创新产品政策执行中需要承担哪些职责？,政策内容,政策内容,"['财政部门', '政策执行', '创新产品']"
增资人在发布增资公告时，需要承担哪些责任？,政策内容,政策内容,"['增资人', '责任']"
如果申请人未按规定交纳保证金，其申请会被视为无效吗？,政策内容,政策内容,['保证金，无效']
采购人和采购代理机构在提供材料时需要承担哪些责任？,政策内容,政策内容,"['采购人', '采购代理机构']"
港口工程项目有尾留工程时，项目单位应如何处理？,政策内容,政策内容,"['港口工程项目', '尾留工程', '项目单位']"
房地产买卖合同中需要包含哪些主要内容？,商品数据,政策内容,"['房地产买卖合同', '主要内容']"
财政部门在处理投诉事项时，主要采用什么方式？在什么情况下会进行调查取证或组织质证？,政策内容,政策内容,"['财政部门', '投诉事项', '调查取证', '质证']"
在技术复杂、专业性强的采购项目中，如何选择合适的评审专家？,招标中标信息,政策内容,['采购项目，评审专家']
民航地区管理局收到招标方案备案材料后，多久内会给出审核结果？,政策文件信息,政策内容,"['民航地区管理局', '招标方案备案材料', '审核结果']"
上海市拍卖行业公共平台计划在哪些领域率先应用网络同步拍卖？,政策内容,政策内容,['上海市，拍卖行业，公共平台，网络同步拍卖']
施工单位未向施工现场管理人员和作业人员进行方案交底和安全技术交底，会受到哪些处罚？,政策文件信息,政策内容,"['施工单位', '施工现场管理人员', '作业人员', '方案交底', '安全技术交底', '处罚']"
成套改造风貌保护更新项目是否可以新增用地？,政策文件信息,政策内容,['项目，更新']
商业银行股东通过不正当手段获得5%以上股份的批准，会有什么后果？,政策文件信息,政策内容,['商业银行，股东，不正当手段，获得，5%，以上股份，批准，后果']
哪些法律法规对提高政府采购透明度提出了要求？,政策文件信息,政策内容,['法律法规，政府采购透明度']
会员无法履约时，交易所可以采取哪些措施？,政策内容,政策内容,['交易所，会员']
供应商提交登记申请后，多久能知道是否入库？,日常问题,政策内容,['供应商，入库']
大型居住社区的安全质量监督申报手续如何办理？,政策文件信息,政策内容,['大型居住社区，安全质量监督，申报手续']
发起方的信用记分达到多少分会被评估为优秀？,政策内容,政策内容,['信用记分，优秀']
竣工验收现场核查组的成员人数和专家比例有何规定？,政策文件信息,政策内容,['竣工验收，现场核查组，成员人数，专家比例']
国家铁路局在铁路建设工程招标投标监督管理中的具体职责是什么？,政策内容,政策内容,"['国家铁路局', '铁路建设工程招标投标监督管理', '职责']"
公共资源拍卖平台如何加强对拍卖活动的规范引导？,政策内容,政策内容,['公共资源拍卖平台，规范引导']
招标文件中哪些要求和条件属于实质性要求，必须以醒目的方式标明？,政策文件信息,政策内容,['招标文件，要求和条件，实质性要求，必须，醒目的方式，标明']
如果单位在第三方机构核查时提供虚假资料，会受到什么处罚？,政策内容,政策内容,['第三方机构，处罚']
电子认证服务提供者如果不遵守认证业务规则会有什么后果？,政策内容,政策内容,['认证业务规则，电子认证服务提供者']
在审查电子投标文件作为证据的真实性时，需要考虑哪些因素？,政策内容,政策内容,['电子投标文件，证据']
在房地产项目中，如果国家为了公共利益需要征收个人住宅，被征收人可以获得哪些补偿和保障？,政策内容,政策内容,['国家，公共利益，个人住宅，补偿，保障']
保险公司筹备组在开立验资账户时需要遵循哪些规定？,政策内容,政策内容,['保险公司，验资账户']
企业违反碳排放配额管理规定，除了罚款外，还可能面临哪些行政处理措施？,政策内容,政策内容,['碳排放配额，罚款，行政处理措施']
在土地使用权出让意向书中，公示期间如果有异议且经审查发现违反法律法规行为，会如何处理？,政策文件信息,政策内容,['土地使用权出让意向书，公示期间，异议，违反法律法规行为']
在招标拍卖挂牌出让公告中，出让人可以设置哪些限制条件？,政策内容,政策内容,['公告，出让人，限制条件']
拟聘评审专家需要接受哪些培训？,日常问题,政策内容,['培训']
财政部门在政府采购项目绩效评价方面有哪些职责？,政策内容,政策内容,"['财政部门', '政府采购项目绩效评价', '职责']"
本市公共资源交易平台管理办法的修订主要包括哪些内容？,政策文件信息,政策内容,['政策文件信息，本市，公共资源交易平台管理办法修订']
在仲裁过程中，如果当事人发现笔录中有遗漏或差错，应该如何处理？,政策内容,政策内容,['仲裁，当事人，笔录，遗漏，差错']
事业单位在处置国有资产时，是否可以自行决定处置而不经过审批？,政策内容,政策内容,['国有资产，审批']
出租方在招租过程中需要设置保证金吗？如果需要，应明确哪些内容？,政策内容,政策内容,"['出租方', '招租', '保证金', '内容']"
在政府采购项目中，补抽专家或重新组建评审委员会后，需要做哪些书面记录？,政策内容,政策内容,['政府采购项目，补抽专家，重新组建评审委员会，书面记录']
意向投资人在参与增资项目时，需要进行哪些工作？,日常问题,政策内容,"['投资人', '增资项目']"
在进行上市公司股份直接协议转让时，转让方需要履行哪些内部决策程序？,政策内容,政策内容,['上市公司，股份，协议转让，内部决策程序']
政府在履行出资人职责时，应遵循哪些原则？,政策内容,政策内容,"['政府', '出资人职责', '原则']"
如何满足“采购三重四级杆气相色谱质谱联用仪”项目的申请人资格要求？,招标中标信息,招标中标信息,['申请人资格要求，三重四级杆气相色谱质谱联用仪']
“数字倒置荧光显微镜”项目的最高限价是多少？,招标中标信息,招标中标信息,['项目，最高限价']
“罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购”项目的联系人是谁？,招标中标信息,招标中标信息,['罗泾社区卫生服务中心，X射线计算机体层摄影（CT）设备采购项目，联系人']
“皮秒激光仪”项目的采购人代理人联系方式是什么？,招标中标信息,招标中标信息,['采购人，代理人，联系方式']
“生物分子相互作用分析系统”项目的采购人地址在哪里？,招标中标信息,招标中标信息,['采购人地址']
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的最高限价是多少？,招标中标信息,招标中标信息,['项目，最高限价']
“沉积物粒度组成和年代测试”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['采购人代理人名称']
“浦东新区南汇新城镇社区卫生服务中心CT机”项目是否有特定的资格要求？,招标中标信息,招标中标信息,['浦东新区，南汇新城镇，社区卫生服务中心，CT机，特定的资格要求']
“颗粒纳米生物检测仪”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“高端便携式彩色多普勒超声诊断仪”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['项目，采购人，代理人，地址']
“细胞器精准提取分析系统”项目的联系人电话是什么？,招标中标信息,招标中标信息,['项目，联系人，电话']
“上海交通大学医学院动物手术实验室设备等采购项目”的预算金额是多少？,招标中标信息,招标中标信息,['上海交通大学医学院，动物手术实验室设备，预算金额']
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的包名称是什么？,招标中标信息,招标中标信息,['中国福利会国际和平妇幼保健院，2024，医疗设备（四），项目，包名称']
“层析成像扫描仪配件升级”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人联系方式']
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的预算金额是多少？,招标中标信息,招标中标信息,['徐汇区城运中心，区公安分局，2024年度，350兆PDT系统建设，预算金额']
“公卫中心开办设备第一批”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['公卫中心，项目，采购人代理人名称']
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的联系人是谁？,政策文件信息,招标中标信息,['项目，联系人']
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人，代理人，地址']
“上海健康医学院附属崇明医院医疗设备采购”项目的包名称是什么？,招标中标信息,招标中标信息,['上海健康医学院，附属崇明医院，医疗设备采购项目，包名称']
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的预算金额是多少？,招标中标信息,招标中标信息,['青浦区卫健委，医疗设备采购项目三（2）']
“设备-彩色超声诊断仪”项目的采购人代理人联系方式是什么？,招标中标信息,招标中标信息,['采购人，代理，联系方式']
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”的联系人电话是什么？,招标中标信息,招标中标信息,['上海交通大学医学院附属上海儿童医学中心，电话']
“直线加速器（第二次）”项目的采购人地址在哪里？,招标中标信息,招标中标信息,['采购人，地址']
“嘉定卫生信息服务采购项目”的预算金额是多少？,招标中标信息,招标中标信息,['嘉定，卫生服务，采购项目，预算金额']
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['上海市中医医院嘉定院区，超声引导激光消融治疗系统']
“多功能全自动蛋白质表达定量分析系统”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人联系方式']
“流式细胞分析/分选仪”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“超声外科吸引系统”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人，代理，地址']
“一体式大平板C型臂”项目的联系人是谁？,商品数据,招标中标信息,['项目，大平板C型臂']
“外科腹腔镜超声”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['采购人代理人名称']
“3.0T核磁共振”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“月浦镇农村房地一体宅基地确权登记项目”的预算金额是多少？,招标中标信息,招标中标信息,['月浦镇，农村房地一体宅基地确权登记项目，预算金额']
“第七人民医院钬激光治疗机项目”的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['第七人民医院，钬激光治疗机项目，采购人代理人']
“辐射抗扰度测试系统”项目的联系人电话是什么？,招标中标信息,招标中标信息,['项目，联系人电话']
“特种光纤化学气相沉积材料生长系统”项目的采购人名称是什么？,招标中标信息,招标中标信息,['采购人名称']
“高档彩色多普勒超声诊断仪”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目预算金额，高档彩色多普勒超声诊断仪']
“朱家角人民医院医用超声波仪器及设备项目”的采购人代理人名称是什么？,招标中标信息,招标中标信息,['朱家角人民医院，医用超声波仪器及设备项目，采购人代理人名称']
“振动样品磁强计装备”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“上海市精神卫生中心流式细胞仪项目”的预算金额是多少？,招标中标信息,招标中标信息,['上海市，精神卫生中心，流式细胞仪项目，预算金额']
“社保队员第三方购买服务项目”的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人代理人，地址']
“上海市养志康复医院（上海市阳光康复中心）虚拟现实康复训练系统”项目的联系人是谁？,招标中标信息,招标中标信息,['上海市养志康复医院，上海市阳光康复中心，虚拟现实康复训练系统']
“上海市第一人民医院重症医学病房建设项目（五）”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['上海市第一人民医院，重症医学病房建设项目（五），采购人代理人名称']
“采购三重四级杆气相色谱质谱联用仪”项目的采购人代理人联系方式是什么？,招标中标信息,招标中标信息,['采购人，代理，联系方式']
“数字倒置荧光显微镜”项目的采购人地址在哪里？,招标中标信息,招标中标信息,['采购人，地址']
“手术显微镜（含自筹）”项目的联系人电话是什么？,招标中标信息,招标中标信息,['手术显微镜，自筹，项目，联系人，电话']
“上海市老年医学中心开办项目-痕量分子靶标检测系统、流式细胞仪”项目的预算金额是多少？,招标中标信息,招标中标信息,['上海市老年医学中心，痕量分子靶标检测系统，流式细胞仪，预算金额']
“罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['罗泾社区卫生服务中心，X射线计算机体层摄影（CT）设备采购']
“皮秒激光仪”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“生物分子相互作用分析系统”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人，代理，地址']
“沉积物粒度组成和年代测试”项目的联系人是谁？,日常问题,招标中标信息,['项目，粒度组成，年代测试']
“浦东新区南汇新城镇社区卫生服务中心CT机”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['采购人代理人名称，浦东新区南汇新城镇社区卫生服务中心CT机项目']
“颗粒纳米生物检测仪”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“高端便携式彩色多普勒超声诊断仪”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“细胞器精准提取分析系统”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人，代理人，地址']
“上海交通大学医学院动物手术实验室设备等采购项目”项目的联系人电话是什么？,招标中标信息,招标中标信息,['上海交通大学医学院，动物手术实验室设备，采购项目，联系人，电话']
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的采购人名称是什么？,招标中标信息,招标中标信息,['中国福利会国际和平妇幼保健院']
“层析成像扫描仪配件升级”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目预算金额']
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['徐汇区城运中心，区公安分局，2024年度，350兆PDT系统，采购人代理人名称']
“公卫中心开办设备第一批”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['公卫中心，项目，采购人，联系方式']
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目预算金额']
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人代理人地址']
“上海健康医学院附属崇明医院医疗设备采购”项目的联系人是谁？,招标中标信息,招标中标信息,['上海健康医学院，附属崇明医院，医疗设备采购项目，联系人']
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['青浦区卫健委']
“设备-彩色超声诊断仪”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”项目的预算金额是多少？,招标中标信息,招标中标信息,['上海交通大学医学院，上海儿童医学中心，预算金额']
“直线加速器（第二次）”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人，代理，地址']
“嘉定卫生信息服务采购项目”项目的联系人电话是什么？,招标中标信息,招标中标信息,"['嘉定卫生服务', '信息采购项目', '联系人', '电话']"
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人名称是什么？,招标中标信息,招标中标信息,"['上海市中医医院嘉定院区', '超声引导激光消融治疗系统']"
“多功能全自动蛋白质表达定量分析系统”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目预算金额，多功能全自动蛋白质表达定量分析系统']
“流式细胞分析/分选仪”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['采购人代理人名称，项目名称']
“超声外科吸引系统”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,['采购人，联系方式']
“一体式大平板C型臂”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“外科腹腔镜超声”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人代理人地址']
“3.0T核磁共振”项目的联系人是谁？,日常问题,招标中标信息,['项目，核磁共振']
“月浦镇农村房地一体宅基地确权登记项目”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,['月浦镇，农村房地一体宅基地确权登记项目，采购人代理人名称']
“第七人民医院钬激光治疗机项目”的采购人联系方式是什么？,招标中标信息,招标中标信息,['第七人民医院，钬激光治疗机项目，采购人']
“辐射抗扰度测试系统”项目的预算金额是多少？,招标中标信息,招标中标信息,['项目，预算金额']
“特种光纤化学气相沉积材料生长系统”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['采购人代理人地址']
“高档彩色多普勒超声诊断仪”项目的联系人电话是什么？,招标中标信息,招标中标信息,['项目，高档彩色多普勒超声诊断仪，联系人，电话']
“朱家角人民医院医用超声波仪器及设备项目”项目的采购,招标中标信息,招标中标信息,['朱家角人民医院，医用超声波仪器及设备项目，采购']
你好！,日常问题,日常问题,['[]']
你好，今天天气怎么样？,日常问题,日常问题,['天气']
早上好！,日常问题,日常问题,['[]']
你能告诉我现在的时间吗？,日常问题,日常问题,['时间']
周末有什么计划吗？,日常问题,日常问题,['无']
你能推荐几本好书吗？,日常问题,日常问题,['无']
今天的工作忙不忙？,日常问题,日常问题,['工作，忙']
你了解最新的科技趋势吗？,日常问题,日常问题,['科技趋势']
你能教我几句常用的外语表达吗？,日常问题,日常问题,['外语，外语表达']
你最喜欢的电影是什么？,日常问题,日常问题,['无']
你能帮我查一下明天的天气预报吗？,日常问题,日常问题,"['明天', '天气预报']"
你能告诉我一些健康饮食的建议吗？,日常问题,日常问题,['健康，饮食']
你了解当前的股市行情吗？,商品数据,日常问题,['股市，行情']
你能帮我找一首轻松的音乐吗？,日常问题,日常问题,['音乐']
你有什么兴趣爱好？,日常问题,日常问题,['无']
你能推荐一些旅行的好去处吗？,日常问题,日常问题,"['旅行', '好去处']"
你能教我如何缓解压力吗？,日常问题,日常问题,['压力']
你能帮我查一下最近的新闻头条吗？,日常问题,日常问题,['新闻头条']
你能告诉我一些关于月亮的有趣事实吗？,日常问题,日常问题,['月亮']
你了解人工智能的最新发展吗？,日常问题,日常问题,['人工智能，最新发展']
你能帮我找一些学习资源吗？,日常问题,日常问题,['学习资源']
你能推荐一些提高工作效率的方法吗？,日常问题,日常问题,['效率，方法']
你能帮我查一下航班信息吗？,日常问题,日常问题,['航班']
你能告诉我一些关于宇宙的有趣知识吗？,日常问题,日常问题,"['宇宙', '有趣知识']"
你了解不同的文化习俗吗？,日常问题,日常问题,['文化，习俗']
你能帮我找一些放松的瑜伽视频吗？,日常问题,日常问题,"['放松', '瑜伽', '视频']"
你能推荐一些周末的活动吗？,日常问题,日常问题,"['周末', '活动']"
你能告诉我一些关于环保的小知识吗？,日常问题,日常问题,['环保，小知识']
你了解最新的医疗健康资讯吗？,政策内容,日常问题,['医疗健康资讯']
你能帮我找一些提高睡眠质量的方法吗？,日常问题,日常问题,['睡眠质量，方法']
你能推荐一些有趣的播客节目吗？,日常问题,日常问题,['播客节目']
你能告诉我一些关于历史的有趣故事吗？,日常问题,日常问题,"['历史', '有趣故事']"
你了解不同的星座性格吗？,日常问题,日常问题,"['星座', '性格']"
你能帮我找一些学习编程的资源吗？,日常问题,日常问题,['学习，编程']
你能推荐一些提高记忆力的技巧吗？,日常问题,日常问题,"['记忆力', ' 提高记忆力的技巧']"
你能告诉我一些关于植物养护的知识吗？,日常问题,日常问题,['植物，植物养护']
你了解不同的艺术风格吗？,日常问题,日常问题,['艺术风格']
你能帮我找一些家庭健身的指导吗？,日常问题,日常问题,['家庭健身，指导']
你能推荐一些提高专注力的方法吗？,日常问题,日常问题,['专注力']
你能告诉我一些关于动物的有趣事实吗？,日常问题,日常问题,['动物，有趣事实']
你了解不同的烹饪技巧吗？,日常问题,日常问题,['烹饪技巧']
你能帮我找一些学习语言的应用程序吗？,商品数据,日常问题,['应用程序']
你能推荐一些提高自信心的技巧吗？,日常问题,日常问题,"['自信', '技巧']"
你能告诉我一些关于心理学的知识吗？,日常问题,日常问题,['心理学']
你了解不同的建筑风格吗？,日常问题,日常问题,['建筑风格']
你能帮我找一些提高创造力的方法吗？,日常问题,日常问题,['提高，创造力']
你能推荐一些提高阅读速度的技巧吗？,日常问题,日常问题,"['阅读速度', '技巧']"
你能告诉我一些关于海洋生物的有趣事实吗？,日常问题,日常问题,['海洋生物，有趣事实']
你了解不同的音乐流派吗？,日常问题,日常问题,['音乐流派']
你能帮我找一些提高工作效率的软件吗？,商品数据,日常问题,['软件']
你能推荐一些提高时间管理能力的方法吗？,日常问题,日常问题,['时间管理']
你能告诉我一些关于天文学的有趣知识吗？,日常问题,日常问题,['天文学']
你了解不同的棋类游戏吗？,日常问题,日常问题,['棋类游戏']
你能帮我找一些提高公共演讲技巧的资源吗？,日常问题,日常问题,['提高公共演讲技巧，资源']
你能推荐一些提高写作技巧的方法吗？,日常问题,日常问题,['写作技巧，方法']
你能告诉我一些关于古文明的有趣事实吗？,日常问题,日常问题,['古文明']
你了解不同的舞蹈风格吗？,日常问题,日常问题,['舞蹈风格']
你能帮我找一些提高绘画技巧的教程吗？,商品数据,日常问题,['绘画技巧，教程']
你能推荐一些提高逻辑思维的方法吗？,日常问题,日常问题,['提高逻辑思维方法']
你能告诉我一些关于昆虫的有趣知识吗？,日常问题,日常问题,['昆虫，有趣知识']
你了解不同的园艺技巧吗？,日常问题,日常问题,['园艺技巧']
你能帮我找一些提高学习效率的方法吗？,日常问题,日常问题,['学习效率']
你能推荐一些提高团队协作能力的方法吗？,日常问题,日常问题,['团队协作能力，方法']
你能告诉我一些关于鸟类的有趣事实吗？,日常问题,日常问题,['鸟类，有趣事实']
你了解不同的手工艺吗？,日常问题,日常问题,['手工艺']
你能帮我找一些提高决策能力的方法吗？,日常问题,日常问题,['决策能力']
你能推荐一些提高领导力的技巧吗？,日常问题,日常问题,['领导力，技巧']
你能告诉我一些关于地质学的有趣知识吗？,日常问题,日常问题,"['地质学', '有趣知识']"
你了解不同的茶文化吗？,日常问题,日常问题,['茶文化']
你能帮我找一些提高情绪管理能力的方法吗？,日常问题,日常问题,['情绪管理方法']
你能推荐一些提高人际交往能力的方法吗？,日常问题,日常问题,['人际交往能力']
你能告诉我一些关于物理学的有趣事实吗？,日常问题,日常问题,['物理，学']
你了解不同的咖啡种类吗？,商品数据,日常问题,['咖啡种类']
你能帮我找一些提高财务管理能力的方法吗？,日常问题,日常问题,['财务管理能力']
你能推荐一些提高自我激励的方法吗？,日常问题,日常问题,['自我激励']
你能告诉我一些关于化学的有趣实验吗？,日常问题,日常问题,"['化学', '有趣实验']"
你了解不同的酒文化吗？,日常问题,日常问题,['酒文化']
你能帮我找一些提高批判性思维的方法吗？,日常问题,日常问题,['提高，批判性思维']
你能推荐一些提高适应能力的方法吗？,日常问题,日常问题,['适应能力']
你能告诉我一些关于生物学的有趣知识吗？,日常问题,日常问题,"['生物学', '有趣知识']"
你了解不同的摄影技巧吗？,日常问题,日常问题,['摄影，技巧']
你能帮我找一些提高组织能力的方法吗？,日常问题,日常问题,['组织能力']
你能推荐一些提高解决问题能力的方法吗？,日常问题,日常问题,['提高，解决问题能力']
你能告诉我一些关于哲学的有趣思想吗？,日常问题,日常问题,"['哲学', '有趣思想']"
你了解不同的时尚趋势吗？,日常问题,日常问题,['时尚趋势']
你能帮我找一些提高创新能力的方法吗？,日常问题,日常问题,['创新，方法']
你能推荐一些提高说服力的技巧吗？,日常问题,日常问题,"['说服力', '技巧']"
你能告诉我一些关于数学的有趣问题吗？,日常问题,日常问题,['数学，有趣问题']
你了解不同的电影流派吗？,日常问题,日常问题,['电影流派']
你能帮我找一些提高自我意识的方法吗？,日常问题,日常问题,['自我意识，方法']
你能推荐一些提高自我反省能力的方法吗？,日常问题,日常问题,['自我反省能力']
你能告诉我一些关于政治学的有趣事实吗？,政策内容,日常问题,"['政治学', '有趣事实']"
你了解不同的体育项目吗？,日常问题,日常问题,['体育项目']
你能帮我找一些提高身体协调性的方法吗？,日常问题,日常问题,['身体协调性，方法']
你能推荐一些提高反应速度的技巧吗？,日常问题,日常问题,['反应速度']
你能告诉我一些关于人类学的有趣知识吗？,日常问题,日常问题,['人类学，有趣知识']
你了解不同的旅行目的地吗？,日常问题,日常问题,['目的地']
你能帮我找一些提高语言能力的方法吗？,日常问题,日常问题,['语言能力']
你能推荐一些提高听力理解能力的方法吗？,日常问题,日常问题,['听力理解能力']
你能告诉我一些关于社会学的有趣事实吗？,日常问题,日常问题,"['社会学', '有趣事实']"
你了解不同的节日庆典吗？,日常问题,日常问题,['节日庆典']
无轨迹等张肌力测试康复训练系统的品牌有哪些？,商品数据,商品数据,['等张肌力测试康复训练系统，品牌']
无轨迹等张肌力测试康复训练系统的产品价格范围是多少？,商品数据,商品数据,['产品价格范围，等张肌力测试康复训练系统']
无轨迹等张肌力测试康复训练系统的供应商城市有哪些？,商品数据,商品数据,['城市']
