问题,召回文档标题,真实标题,正确召回,召回位置
招标投标交易场所的监管机构在电子招标投标工作中的职责是什么？,"['电子招标投标办法', '铁路建设工程招标投标监管暂行办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '【综合采购】上海市公共资源交易中心交易活动实施办法（试行）', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '公共资源交易平台管理暂行办法', '电子招标投标办法']",电子招标投标办法,True,0
电子招标投标交易平台需要具备哪些主要功能？,"['电子招标投标办法', '关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '上海市公共资源交易管理办法', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '上海市公共资源交易管理办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",电子招标投标办法,True,0
如果我在招投标过程中需要投诉，是否可以委托他人代为办理？如果可以，需要提供哪些文件？,"['工程建设项目招标投标活动投诉处理办法', '司法部关于印发《招标投标公证程序细则》的通知', '政府采购质疑和投诉办法', '房屋建筑和市政基础设施工程施工招标投标管理办法', '中华人民共和国招标投标法实施条例', '政府采购质疑和投诉办法', '工程建设项目招标投标活动投诉处理办法', '公路工程建设项目招标投标管理办法', '工程建设项目招标投标活动投诉处理办法', '中华人民共和国招标投标法实施条例']",工程建设项目招标投标活动投诉处理办法,True,0
我提交了投诉书后，行政监督部门多久会给我答复？如果不符合受理条件，他们会如何处理？,"['工程建设项目招标投标活动投诉处理办法', '国土资源行政处罚办法', '【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）', '政府采购质疑和投诉办法', '政府采购质疑和投诉办法', '财政部关于做好政府采购信息公开工作的通知', '工程建设项目招标投标活动投诉处理办法', '中华人民共和国招标投标法实施条例', '政府采购质疑和投诉办法', '公路工程建设项目招标投标管理办法']",工程建设项目招标投标活动投诉处理办法,True,0
我在投诉招投标活动时，哪些情况下投诉不会被受理？,"['中华人民共和国招标投标法实施条例', '评标委员会和评标方法暂行规定', '上海市城乡建设和管理委员会关于加强对本市建设工程施工招标投标活动中非正常投标行为监管的通知', '公路工程建设项目招标投标管理办法', '工程建设项目招标投标活动投诉处理办法', '政府采购质疑和投诉办法', '国家发展改革委、工业和信息化部、监察部等关于印发《招标投标违法行为记录公告暂行办法》的通知', '中华人民共和国招标投标法', '国家重大建设项目招标投标监督暂行办法', '铁路工程建设项目招标投标管理办法']",工程建设项目招标投标活动投诉处理办法,True,4
在处理我的投诉时，行政监督部门的工作人员在什么情况下需要回避？,"['工程建设项目招标投标活动投诉处理办法', '交通运输行政执法程序规定', '政府采购质疑和投诉办法', '交通运输行政执法程序规定', '政府采购质疑和投诉办法', '工程建设项目招标投标活动投诉处理办法', '工程建设项目招标投标活动投诉处理办法', '政府采购质疑和投诉办法', '中华人民共和国政府采购法', '中华人民共和国招标投标法实施条例']",工程建设项目招标投标活动投诉处理办法,True,0
行政监督部门在受理我的投诉后，会采取哪些措施进行调查？对于复杂的投诉事项，他们会如何处理？,"['工程建设项目招标投标活动投诉处理办法', '【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）', '政府采购质疑和投诉办法', '财政部关于做好政府采购信息公开工作的通知', '政府采购质疑和投诉办法', '交通运输行政执法程序规定', '工程建设项目招标投标活动投诉处理办法', '工程建设项目招标投标活动投诉处理办法', '政府采购质疑和投诉办法', '工程建设项目招标投标活动投诉处理办法']",工程建设项目招标投标活动投诉处理办法,True,0
电子招标投标平台是否可以限制某些市场主体获取招标信息？,"['电子招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '招标公告和公示信息发布管理办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '招标公告和公示信息发布管理办法']",电子招标投标办法,True,0
电子招标投标平台是否可以要求投标人购买指定的工具软件？,"['上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '中华人民共和国招标投标法实施条例', '政府采购货物和服务招标投标管理办法', '电子招标投标办法', '电子招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '电子招标投标办法', '电子招标投标办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",电子招标投标办法,True,4
在提交响应文件截止时间前，供应商可以对响应文件进行哪些操作？,"['政府采购非招标采购方式管理办法', '【综合采购】上海市公共资源交易中心响应方信用记分评估标准（试行）', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '政府采购质疑和投诉办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,3
竞争性磋商项目中，磋商小组的组成有何要求？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '【产权交易】上海联合产权交易所有限公司企业增资业务择优确定投资人操作流程(沪联产交〔2020〕25号)', '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,0
磋商小组成员在进行评审时需要遵循哪些原则？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '【产权交易】企业增资评审专家管理操作流程（试行）', '公路工程建设项目招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于进一步规范政府采购评审工作有关问题的通知', '【产权交易】企业增资评审专家管理操作流程（试行）', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,0
采购人或者采购代理机构在评审过程中能否对评审专家进行倾向性或误导性的解释？,"['中华人民共和国政府采购法实施条例', '政府采购质疑和投诉办法', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于进一步规范政府采购评审工作有关问题的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购评审专家管理办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购评审专家管理办法》的通知']",财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,True,5
在确定建筑工程合同价款时，哪些因素需要考虑？,"['建筑工程施工发包与承包计价管理办法', '上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '建筑工程施工发包与承包计价管理办法', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '建筑工程施工发包与承包计价管理办法']",建筑工程施工发包与承包计价管理办法,True,0
建筑工程合同中，哪些情况下需要约定合同价款的调整方法？,"['财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '中华人民共和国招标投标法实施条例', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '建筑工程施工发包与承包计价管理办法']",建筑工程施工发包与承包计价管理办法,True,9
建筑工程合同中，预付工程款的具体事宜应如何约定？,"['财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '上海市建设工程招标投标管理办法', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '建筑工程施工发包与承包计价管理办法', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知']",建筑工程施工发包与承包计价管理办法,True,8
工程完工后，竣工结算的具体流程是怎样的？,"['财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '上海市住房和城乡建设管理委员会关于发布《上海市工程总承包试点项目管理办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '上海市建筑市场管理条例', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释(一)', '财政部、建设部关于印发《建设工程价款结算暂行办法》的通知', '建筑工程施工发包与承包计价管理办法']",建筑工程施工发包与承包计价管理办法,True,9
投标文件未按规定加密，交易平台会如何处理？,"['上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '国家发展改革委办公厅关于印发《部分地方深化公共资源交易平台整合共享工作典型做法》的通知', '上海市城乡建设和管理委员会关于加强对本市建设工程施工招标投标活动中非正常投标行为监管的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '【综合采购】上海市公共资源交易投标电子保函服务管理办法', '【综合采购】上海市公共资源交易中心交易活动实施办法（试行）', '政府采购货物和服务招标投标管理办法', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知', '电子招标投标办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）']",电子招标投标办法,True,8
投标截止时间前未完成投标文件传输，会如何处理？,"['房屋建筑和市政基础设施工程施工招标投标管理办法', '国家发展改革委、工业和信息化部、监察部等关于印发《招标投标违法行为记录公告暂行办法》的通知', '上海市城乡建设和管理委员会关于加强对本市建设工程施工招标投标活动中非正常投标行为监管的通知', '公路工程建设项目招标投标管理办法', '电子招标投标办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '水运工程建设项目招标投标管理办法', '工程建设项目施工招标投标办法', '公路工程建设项目招标投标管理办法', '电子招标投标办法']",电子招标投标办法,True,4
交易平台收到投标文件后，需要向投标人提供什么反馈？,"['关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '国家发展改革委办公厅关于印发《部分地方深化公共资源交易平台整合共享工作典型做法》的通知', '招标公告和公示信息发布管理办法', '【综合采购】上海市公共资源交易中心交易见证服务细则（试行）', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '上海市公共资源交易管理办法', '【交通系统】关于在上海市公共资源交易中心开展中国铁路上海局集团有限公司铁路建设项目招标投标的交易指引（试行）', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '【综合采购】上海市公共资源交易中心交易活动实施办法（试行）']",电子招标投标办法,False,无
开标时，投标文件是如何被处理的？,"['【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '工程建设项目招标投标活动投诉处理办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '电子招标投标办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '招标拍卖挂牌出让国有土地使用权规范（试行）', '工程建设项目施工招标投标办法', '水运工程建设项目招标投标管理办法']",电子招标投标办法,True,5
哪些情况下发起方的评估结果会被标注为较差？,"['【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）', '评标委员会和评标方法暂行规定', '国务院国有资产监督管理委员会关于印发《企业国有资产评估项目备案工作指引》的通知', '【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）', '【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）', '【产权交易】企业增资评审专家管理操作流程（试行）', '评标专家和评标专家库管理暂行办法', '铁路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法']",发起方的评估结果会被标注为较差的情况有两种：一是发起方信用记分为0分；二是发起方连续超过12个月的评估结果为不佳。市交易中心会对评估结果为较差的发起方标注为红色，并通过市交易中心门户网站主动公开。,False,无
如果对招投标监管办法有疑问，应该向哪个部门咨询？,"['国家重大建设项目招标投标监督暂行办法', '政府采购质疑和投诉办法', '招标公告和公示信息发布管理办法', '政府采购货物和服务招标投标管理办法', '电子招标投标办法', '铁路建设工程招标投标监管暂行办法', '工程建设项目招标投标活动投诉处理办法', '房屋建筑和市政基础设施工程施工招标投标管理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '国家重大建设项目招标投标监督暂行办法']",如果对招投标监管办法有疑问，应该向国家铁路局工程监督管理司咨询，因为该办法由其负责解释。,False,无
交易中心及交易平台开发运维单位的工作人员在履行职责过程中泄露信息，会面临什么法律责任？,"['【综合采购】上海市公共资源交易中心交易见证服务细则（试行）', '【综合采购】上海市公共资源交易投标电子保函服务管理办法', '【碳排放权】上海环境能源交易所碳排放交易信息管理办法', '上海市发展和改革委员会、上海市财政局、上海市住房和城乡建设管理委员会等关于印发《上海市公共资源交易平台管理暂行办法》的通知(2020修订)', '关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）', '【碳排放权】上海环境能源交易所碳排放交易信息管理办法', '【现货交易规则】上海环境能源交易所碳排放交易违规违约处理办法（试行）', '上海市人民政府关于印发《上海市交易场所管理暂行办法》的通知', '【碳排放权】上海环境能源交易所碳排放交易信息管理办法']",交易中心及交易平台开发运维单位的工作人员在履行职责过程中泄露信息，将依法予以处理；如果构成犯罪，将依法追究刑事责任。,False,无
哪些机构和个人有权查询质押物的数量和状态？,"['【碳排放权】上海环境能源交易所协助办理CCER质押业务规则', '国务院国有资产监督管理委员会关于印发《国家出资企业产权登记管理工作指引》的通知', '【综合采购】上海市公共资源交易中心场内交易信用记分实施细则（试行）', '农业部关于印发《农村土地经营权流转交易市场运行规范(试行)》的通知', '【碳排放权】上海环境能源交易所协助办理CCER质押业务规则', '保险公司股权管理办法(2018)', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '企业国有资产产权登记管理办法实施细则(2000修订)', '行政单位国有资产管理暂行办法', '【创新产品业务规则】上海环境能源交易所协助办理CCER质押业务规则']",国家权力机关、国家司法机关、国家及地方主管部门以及质押双方（即出质人和质权人）均有权向交易所查询质押物的数量和状态。,False,无
哪些项目属于上海市公共资源交易中心的场内项目？,"['上海市发展和改革委员会关于印发《上海市公共资源交易目录(2020年版)》的通知', '【交通系统】关于在上海市公共资源交易中心开展中国铁路上海局集团有限公司铁路建设项目招标投标的交易指引（试行）', '上海市公共资源场内交易信用记分管理办法（试行）', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '【综合采购】上海市公共资源交易中心交易见证服务细则（试行）', '上海市公共资源交易整合共享工作协调机制关于同意在上海联合产权交易所加挂上海市公共资源交易中心牌子的批复', '关于印发《2023年上海市公共资源“一网交易”改革重点工作安排》的通知', '上海市经济信息化委、市发展改革委、市交通委关于有序推进本市机电设备国内招标交易电子化有关事项的通知', '上海市公共资源交易管理办法', '上海市发展和改革委员会关于印发《上海市公共资源交易平台升级改造工作方案》的通知']",属于上海市公共资源交易中心的场内项目是指在市交易中心内实施的招标、投标、开标、评标、出让、转让、拍卖等交易活动的项目。,False,无
《上海市2019年碳排放配额分配方案》的主要作用是什么？,"['上海市生态环境局关于印发《上海市纳入碳排放配额管理单位名单（2019', '【碳排放权】上海市碳排放管理试行办法', '上海市碳排放管理试行办法', '【现货交易规则】上海环境能源交易所碳排放交易信息管理办法（试行）', '【碳排放权】上海市碳排放管理试行办法', '上海市碳排放管理试行办法', '【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）', '上海市人民政府关于本市开展碳排放交易试点工作的实施意见', '上海市碳排放管理试行办法', '上海市碳排放管理试行办法']",《上海市2019年碳排放配额分配方案》是作为本市2019年度碳排放配额分配和管理等工作的依据，主要作用是明确碳排放配额的分配原则、方法、数量和具体操作流程，确保碳排放配额管理的规范性和公平性。,False,无
开标时，投标文件是如何被处理的？,"['【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '工程建设项目招标投标活动投诉处理办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '电子招标投标办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '招标拍卖挂牌出让国有土地使用权规范（试行）', '工程建设项目施工招标投标办法', '水运工程建设项目招标投标管理办法']",开标时，电子招标投标交易平台会自动提取所有投标文件，并提示招标人和投标人按照招标文件规定的方式按时在线解密。,False,无
如果我在拍卖中未能成交，我的交易保证金什么时候能退还？,"['【产权交易】上海联合产权交易所有限公司产权交易保证金操作细则(沪联产交〔2020〕29号)', '最高人民法院关于人民法院网络司法拍卖若干问题的规定', '不动产拍卖规程', '投标保证金提交与退还操作须知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '【技术交易】上海技术交易所竞价交易（拍卖）实施办法（草拟）', '上海市规划和自然资源局关于印发《国有建设用地使用权招标拍卖挂牌出让投标竞买外汇保证金账户管理制度》的通知(2020)', '上海市规划和国土资源管理局关于印发《上海市国有建设用地使用权出让预申请管理办法》及《上海市国有建设用地使用权出让预申请实施细则》的通知', '中华人民共和国拍卖法', '网络拍卖规程']",根据规定，未能成交的竞买人的交易保证金应当在拍卖结束后的3个工作日内原额返还。,False,无
国有创业投资企业需要进行哪些备案和检查程序？,"['上海市发展和改革委员会、上海市国有资产监督管理委员会关于下发《上海市国有创业投资企业股权转让管理暂行办法》的通知', '国务院国有资产监督管理委员会关于企业国有资产评估报告审核工作有关事项的通知', '国务院国有资产监督管理委员会关于印发《国家出资企业产权登记管理工作指引》的通知', '上海市农业委员会、市工商行政管理局关于本市农村集体经济组织对外投资股权(出资)内部变动有关事项的通知', '国务院国有资产监督管理委员会关于印发《企业国有资产评估项目备案工作指引》的通知', '国务院国有资产监督管理委员会关于印发《企业国有资产评估项目备案工作指引》的通知', '上海市发展和改革委员会、上海市国有资产监督管理委员会关于下发《上海市国有创业投资企业股权转让管理暂行办法》的通知', '财政部关于印发《国有资产评估项目备案管理办法》的通知', '企业国有资产产权登记管理办法实施细则(2000修订)', '国务院国有资产监督管理委员会关于印发《企业国有资产评估项目备案工作指引》的通知']",国有创业投资企业需要根据《创业投资企业管理暂行办法》的规定，由市发展改革委会同有关部门进行备案和年度检查。备案通过后，市发展改革委将《备案通过通知》和《年检通过通知》抄送市国资委和联交所。,False,无
农村集体资产具体包括哪些类型的资产？,"['上海市农业委员会、上海市集体企业产权界定办公室关于印发《上海市农村集体资产产权界定暂行办法》的通知', '上海市农业委员会、上海市集体企业产权界定办公室关于印发《上海市农村集体资产产权界定暂行办法》的通知', '【农业要素】上海市青浦区重固镇农村集体产权交易规则', '上海市农村集体资产监督管理条例', '中共中央、国务院关于稳步推进农村集体产权制度改革的意见', '上海市农业委员会、上海市集体企业产权界定办公室关于印发《上海市农村集体资产产权界定暂行办法》的通知', '中共中央、国务院关于稳步推进农村集体产权制度改革的意见', '上海市农业委员会、上海市集体企业产权界定办公室关于印发《上海市农村集体资产产权界定暂行办法》的通知', '上海市农村集体资产监督管理条例', '上海市农村集体资产监督管理条例']",农村集体资产主要包括三类：一是资源性资产，如土地、森林、山岭、草原、荒地、滩涂等；二是经营性资产，如用于经营的房屋、建筑物、机器设备、工具器具、农业基础设施、集体投资兴办的企业及其所持有的其他经济组织的资产份额、无形资产等；三是非经营性资产，如用于公共服务的教育、科技、文化、卫生、体育等方面的资产。,False,无
如果会员违反了配额最大持有量限制制度，交易所会采取哪些措施？,"['【现货交易规则】上海环境能源交易所碳排放交易风险控制管理办法（试行）', '【碳排放权】上海市碳排放管理试行办法', '【现货交易规则】上海环境能源交易所碳排放交易违规违约处理办法（试行）', '【碳排放权】上海环境能源交易所碳排放交易信息管理办法', '【现货交易规则】上海环境能源交易所碳排放交易违规违约处理办法（试行）', '【现货交易规则】上海环境能源交易所碳排放交易规则', '【现货交易规则】上海环境能源交易所碳排放交易规则', '【现货交易规则】上海环境能源交易所碳排放交易违规违约处理办法（试行）', '【现货交易规则】上海环境能源交易所碳排放交易结算细则（试行）', '【现货交易规则】上海环境能源交易所碳排放交易规则']",如果会员违反了配额最大持有量限制制度，交易所可以根据情节轻重，采取谈话提醒、书面警示、通报批评、暂停或者限制相关账户交易、取消交易资格、取消会员资格等措施。,False,无
拍卖成交后，买受人和拍卖人是否可以通过网络拍卖平台使用电子签名技术签署成交确认书？,"['拍卖术语', '最高人民法院关于人民法院网络司法拍卖若干问题的规定', '【技术交易】上海技术交易所竞价交易（拍卖）实施办法（草拟）', '不动产拍卖规程', '网络拍卖规程', '上海市公共资源交易管理办法', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '网络拍卖规程', '【司法拍卖】上海市公共资源拍卖中心拍卖当事人应当遵守的拍卖规则', '网络拍卖规程']",是的，根据规定，拍卖成交后，买受人和拍卖人可以使用电子签名技术，通过网络拍卖平台签署电子成交确认书。,False,无
本通知中提到的“小型项目”和“工业项目”的定义依据是什么？,"['工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知', '上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知', '上海市住房和城乡建设管理委员会关于发布《上海市工程总承包试点项目管理办法》的通知', '上海市建设交通委、上海市住房保障房屋管理局、上海市规划国土资源局等关于印发《＜关于本市进一步推进装配式建筑发展的若干意见＞实施细则》的通知', '中华人民共和国招标投标法实施条例', '财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知', '上海市人民政府办公厅转发市规划国土资源局制订的《关于加强本市工业用地出让管理的若干规定》的通知', '上海市建筑市场管理条例', '上海市建设交通委、上海市住房保障房屋管理局、上海市规划国土资源局等关于印发《＜关于本市进一步推进装配式建筑发展的若干意见＞实施细则》的通知', '上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知']",本通知中提到的“小型项目”和“工业项目”的定义与《上海市社会投资项目审批改革工作领导小组关于印发＜进一步深化本市社会投资项目审批改革实施细则＞的通知》（沪社审改〔2018〕1号）中的定义一致。,False,无
承包方能否自主决定将土地经营权出租或入股？需要履行什么手续？,"['农业农村部办公厅关于加强农村土地承包经营合同管理的通知', '中华人民共和国土地管理法', '农业部、中央农村工作领导小组办公室、财政部等关于认真做好农村土地承包经营权确权登记颁证工作的意见', '最高人民法院关于审理涉及农村土地承包纠纷案件适用法律问题的解释', '中华人民共和国农村土地承包法', '农业部办公厅关于印发农村土地(耕地)承包合同示范文本的通知', '中华人民共和国农村土地承包经营权证管理办法', '农业部关于印发《农村土地经营权流转交易市场运行规范(试行)》的通知', '农业部关于进一步做好稳定和完善农村土地承包关系有关工作的通知', '国务院办公厅关于完善建设用地使用权转让、出租、抵押二级市场的指导意见']",承包方可以依法自主决定采取出租、入股或其他方式流转土地经营权，但需向发包方备案。,False,无
公共资源拍卖平台必须具备哪些功能和设施？,"['关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知', '国务院办公厅关于印发整合建立统一的公共资源交易平台工作方案的通知', '关于印发《上海市公共资源交易平台服务标准（试行）》的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '【司法拍卖】上海市公共资源拍卖中心进场拍卖申请拍卖厅管理办法', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '上海市商务委、市工商局关于印发《关于建设拍卖公共平台推进网络同步拍卖的指导意见》的通知', '上海市公共资源交易管理办法']",公共资源拍卖平台必须具备相应的网络系统、设施设备，以及线上线下融合的功能，能够实现现场拍卖、现场与网络同步拍卖、网络拍卖等多种形式。,False,无
